Organization,Legal Service,Area of Practice ,Address,Nearest SEPTA Station,Nearest Line(s),lat,long,Language (Bilingual or more) Yes/No,Targeted Community,Business Type,Business Phone Number,Email,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,url,Other
AIDS Law Project of Pennsylvania,Free HIV/AIDS advocacy,Discrimination// Health Care//Civil Law,"1211 Chestnut Street
Suite 600
Philadelphia, PA 19107","13th St Station, Jefferson Station","Market-Frankford Line, Trolleys, Regional Rail",39.95083572,-75.16074376,Yes,People living with HIV and those affected by the epidemic,Nonprofit,(215) 587-9377,intake@aidslawpa.org,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,Closed,https://www.aidslawpa.org/,
American Civil Liberties Union Foundation of Pennsylvania,Civil Liberties and equality protection ,Protecting constitutional civil liberties,"P.O. Box 60173
Philadelphia, PA 19102",Suburban Station,"Regional Rail, Trolleys (at 19th St)",39.95417469,-75.1702297,No,Pennsylvanians whose civil liberties are violated or threatened,Nonprofit,(215) 592-1513,info@aclupa.org,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,http://www.aclupa.org/,
Community Legal Services of Philadelphia,Civil legal advocacy for low-income ,Housing//Governmental Benefits//Utilities,"1424 Chestnut Street
Philadelphia, PA 19102-2505",15th St Station & City Hall,"Market-Frankford Line, Broad St Line",39.95107783,-75.16517099,Yes,Low-income residents of Philadelphia (125% FPL or below),Nonprofit,(215) 981-3700,N/A,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,http://www.clsphila.org,
Consumer Bankruptcy Assistance Project,Legal representation to low-income ,Consumer debt and Chapter 7 bankruptcy,"718 Arch Street
Suite 300N
Philadelphia, PA 19106",8th St Station,"Market-Frankford Line, Broad-Ridge Spur",39.95308945,-75.15239454,No,Low-income Philadelphia residents seeking Chapter 7 bankruptcy,Nonprofit,(215) 523-9511,info@cbap-phl.org,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,https://www.cbap-phl.org/,
CORA Good Shepherd Mediation,"Social justice, and reconciliation",Youth services//restorativs justice practices,"8540 Verree Road
Philadelphia, PA 19111",Fox Chase Station,Regional Rail (Fox Chase Line),40.08172637,-75.06821779,No,"Individuals, families, community groups, and organizations in conflict",Mediation Center,(215) 843-5413,N/A,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,http://www.phillymediators.org/,
Disability Rights Pennsylvania,Disability advocacy against discrimination and segregation,Disability discrimination,"1800 John F. Kennedy Boulevard
Suite 900
Philadelphia, PA 19103-7403",Suburban Station,"Regional Rail, Trolleys (at 19th St)",39.95414435,-75.17000336,No,Adults and children with disabilities across Pennsylvania,Nonprofit,(215) 238-8070,intake@disabilityrightspa.org,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,http://www.disabilityrightspa.org/,
"Drexel University Thomas R. Kline School of Law, Federal Lit. & Appeals Clinic",Legal representation for immigation and deportation matters,Immigration-proceedings// Civil//Criminal,"3320 Market Street
Suite 411
Philadelphia, PA 19104",34th St Station,Market-Frankford Line,39.95556437,-75.19045449,No,Indigent individuals needing federal appellate representation,Law School Clinic,(215) 571-4709,N/A,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,https://drexel.edu/law/academics/kline-difference/clinics/federal-litigation-and-appeals-clinic/,
Education Law Center,Access to quality education and advocacy for children living poverty,Equal Access//Stopping School-to-Prison pipeline//Fair Funding,"1800 John F. Kennedy Blvd.
Suite 1900A
Philadelphia, PA 19103",Suburban Station,"Regional Rail, Trolleys (at 19th St)",39.9541279,-75.16998191,Yes,Underserved children in Pennsylvania public schools,Nonprofit,(215) 238-6970,N/A,Digital Intake ,Digital Intake ,Digital Intake ,Digital Intake ,Digital Intake ,Digital Intake ,http://www.elc-pa.org/,
Elder Justice & Civil Resource Center,Access to justice and aid self representation,Aging services// public interest communities,"City Hall
Room 278
Philadelphia, PA 19107",City Hall Station,"Broad Street Line, Market-Frankford Line",39.9529683,-75.16354103,No,Philadelphians age 60 and over in civil court proceedings,Government Agency,(215) 686-7027,elderresource@courts.phila.gov,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,Closed,https://www.courts.phila.gov/ejc/,
Episcopal Legal Aid of the Diocese of Pennsylvania,Promotes access to justice,Pro bono civil legal services ,"P.O. Box 434
11 Booth Lane
Haverford, PA 19041",ELA Clinic,ELA Clinic,40.01642916,-75.13423087,Yes,Low-income Philadelphia and surrounding county residents,Nonprofit,(610) 709-6665,info@episcopallegalaid.org,Pop-up-clinic dependent,Pop-up-clinic dependent,Pop-up-clinic dependent,Pop-up-clinic dependent,Pop-up-clinic dependent,Pop-up-clinic dependent,https://www.episcopallegalaid.org/,
Esperanza Immigration Legal Services,Direct community education to contribute and participate in Society,Advocacy,"4261 N. 5th Street
Philadelphia, PA 19140",Erie Station,Broad Street Line (BSL),Digital Intake,,Yes,Underservered Immigrants,Non-profit,(347) 719-1402,EILS@esperanza.us,Digital Intake,Digital Intake,Digital Intake,Digital Intake,Digital Intake,Digital Intake,https://www.esperanza.us/eils/,
Face to Face Legal Center,Free legal services to Germantown,Public benefits// utilities// credit problems// social security benefits//legal identification," 123 East Price Street Philadelphia, PA 19144",Germantown Station,Chestnut Hill East Line,40.03846709,-75.17438582,No,"Low income, unemployed, and homeless individuals",Non-profit,(215) 438-1390,marykay@facetofacegermantown.org,10:00 AM - 2:00PM,N/A,N/A,10:00 AM - 2:00PM,10:00 AM - 2:00PM,Special,http://www.facetofacegermantown.org/,
Family Court Help Center,Voluteer attorneys and local law students to provide information and assitance with filing plreadings ,Child custody,"1501 Arch Street
11th Floor
Philadelphia, PA 19102",City Hall Station,"Broad Street Line, Market-Frankford Line",,,No,Unrepresented litigants in custody proceedings,Nonprofit,N/A,phillyhelpcenter@gmail.com,12:00pm-3:00pm,12:00pm-3:00pm,12:00pm-3:00pm,12:00pm-3:00pm,12:00pm-3:00pm,N/A,N/A,Walk-in
HIAS Pennsylvania,"Provide refugee resettlement, technical assitance, and social services to immigrants",Immigration and nationality matters,"2100 Arch Street
3rd Floor
Philadelphia, PA 19103",Suburban Station,Regional Rail,39.9558441,-75.17515703,Yes,Indigent or low-income,Nonprofit,(215) 832-0900,N/A,N/A,N/A,9:30am-12:00pm,2:00pm-4:30pm,N/A,N/A,http://hiaspa.org/,
Homeless Advocacy Project,Civil legal services and advocacy ,"benefit program eligibility: supplemental security income, temporary assistance for needy families, medical assistance, and food stamps. Veteran compensation, pension benefits, custody support, family law rights, accessing shelter, behavioral health services, and support services: replacing lost or stolen identity documents. Preserving private and subsidized housing eligibility and consumer rights protection.  ","1429 Walnut Street
15th Floor
Philadelphia, PA 19102",Walnut–Locust Station,Broad Street Line,39.94989532,-75.16543409,No, LSC income eligibility,Nonprofit,(215) 523-9595,N/A,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,http://www.haplegal.org/,
Justice at Work,"Direct Legal Services, community education, and advocacy.","Legal services and advocacy for low-wage workers in Pennsylvania, including wage theft, workers' rights violations, unsafe work conditions, substandard housing, workplace discrimination, retaliation, labor camp housing, and community legal education for farmworkers and mushroom workers.","990 Spring Garden Street
Suite 300
Philadelphia, PA 19123",Broad–Spring Garden Station,Broad Street Line,39.96158052,-75.15416896,Yes,"Vulnerable low-wage farmworkers, mushroom workers, landscaping, and food processing workers. ",Nonprofit,(215) 733-0878,jaw@justiceatworklegalaid.org,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,https://www.justiceatworklegalaid.org/grievance-procedure,
Juvenile Law Center,"Juvenile Law Center advocates for rights, dignity, equity and opportunity for youth in the child welfare and justice systems.",Issues affecting older youth in foster care and youth in juvenile and criminal justice systems,"1800 John F. Kennedy Boulevard
Suite 1900B
Philadelphia, PA 19103",Suburban Station,Regional Rail,39.95419346,-75.17023927,No,"Children in justice systems and older youth foster care, and transitioning out of care",Nonprofit,(215) 625-0551,N/A,Form based,Form based,Form based,Form based,Form based,Form based,http://www.jlc.org/,
